1,abrete,1,abrete,abrete,abrete,NC,abrete,a ' B_o 4 e . t e ,abrete,a ' B_o 4 e . t e ,abrete,a ' b 4 e . t e ,abrete,a ' b 4 e . t e ,abrete,a'b4e.te,abrete,a'b4e.te
1.48,ábrete,3,ábrete,abrir+te,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrete,' a . B_o 4 e . t e ,abrir,a ' b 4 i 4 ,ábrete,' a . b 4 e . t e ,abrir,a'b4i4,ábrete,'a.b4e.te
1.9,abría,8,abría,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abría,a ' B_o 4 i a ,abrir,a ' b 4 i 4 ,abría,a ' b 4 i a ,abrir,a'b4i4,abría,a'b4ia
1.48,abrían,3,abrían,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abrían,a ' B_o 4 i a n ,abrir,a ' b 4 i 4 ,abrían,a ' b 4 i a n ,abrir,a'b4i4,abrían,a'b4ian
1,abrid,1,abrid,abrir,abrir,VMM,abrir,a ' B_o 4 i 4 ,abrid,a ' B_o 4 i D ,abrir,a ' b 4 i 4 ,abrid,a ' b 4 i d ,abrir,a'b4i4,abrid,a'b4id
1.48,abrida,3,abrida,abrida,abrida,NC,abrida,a ' B_o 4 i . D_o a ,abrida,a ' B_o 4 i . D_o a ,abrida,a ' b 4 i . d a ,abrida,a ' b 4 i . d a ,abrida,a'b4i.da,abrida,a'b4i.da
2.15,abrido,14,abrido,abridar,abridar,VMI,abridar,a . B_o 4 i ' D_o a 4 ,abrido,a ' B_o 4 i . D_o o ,abridar,a . b 4 i ' d a 4 ,abrido,a ' b 4 i . d o ,abridar,a.b4i'da4,abrido,a'b4i.do
1.6,abriendo,4,abriendo,abrir,abrir,VMG,abrir,a ' B_o 4 i 4 ,abriendo,a ' B_o 4 j e n_d . d o ,abrir,a ' b 4 i 4 ,abriendo,a ' b 4 j e n . d o ,abrir,a'b4i4,abriendo,a'b4jen.do
1,abrigados,1,abrigados,abrigar,abrigar,VMP,abrigar,a . B_o 4 i ' G_o a 4 ,abrigados,a . B_o 4 i ' G_o a . D_o o s ,abrigar,a . b 4 i ' g a 4 ,abrigados,a . b 4 i ' g a . d o s ,abrigar,a.b4i'ga4,abrigados,a.b4i'ga.dos
1.85,abrigo,7,abrigo,abrigo,abrigo,NC,abrigo,a ' B_o 4 i . G_o o ,abrigo,a ' B_o 4 i . G_o o ,abrigo,a ' b 4 i . g o ,abrigo,a ' b 4 i . g o ,abrigo,a'b4i.go,abrigo,a'b4i.go
1,abrigos,1,abrigos,abrigo,abrigo,NC,abrigo,a ' B_o 4 i . G_o o ,abrigos,a ' B_o 4 i . G_o o s ,abrigo,a ' b 4 i . g o ,abrigos,a ' b 4 i . g o s ,abrigo,a'b4i.go,abrigos,a'b4i.gos
1,abril,1,abril,abril,abril,W,abril,a ' B_o 4 i l ,abril,a ' B_o 4 i l ,abril,a ' b 4 i l ,abril,a ' b 4 i l ,abril,a'b4il,abril,a'b4il
2.18,abrimos,15,abrimos,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abrimos,a ' B_o 4 i . m o s ,abrir,a ' b 4 i 4 ,abrimos,a ' b 4 i . m o s ,abrir,a'b4i4,abrimos,a'b4i.mos
1.48,abrió,3,abrió,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abrió,a ' B_o 4 j o ,abrir,a ' b 4 i 4 ,abrió,a ' b 4 j o ,abrir,a'b4i4,abrió,a'b4jo
2.95,abrir,90,abrir,abrir,abrir,VMN,abrir,a ' B_o 4 i 4 ,abrir,a ' B_o 4 i 4 ,abrir,a ' b 4 i 4 ,abrir,a ' b 4 i 4 ,abrir,a'b4i4,abrir,a'b4i4
1,abrirá,1,abrirá,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abrirá,a . B_o 4 i ' 4 a ,abrir,a ' b 4 i 4 ,abrirá,a . b 4 i ' 4 a ,abrir,a'b4i4,abrirá,a.b4i'4a
1.3,abrirla,2,abrirla,abrir+lo,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirla,a ' B_o 4 i 4 l a ,abrir,a ' b 4 i 4 ,abrirla,a ' b 4 i 4 l a ,abrir,a'b4i4,abrirla,a'b4i4la
1,abrirle,1,abrirle,abrir+le,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirle,a ' B_o 4 i 4 l e ,abrir,a ' b 4 i 4 ,abrirle,a ' b 4 i 4 l e ,abrir,a'b4i4,abrirle,a'b4i4le
1.48,abrirlo,3,abrirlo,abrir+lo,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirlo,a ' B_o 4 i 4 l o ,abrir,a ' b 4 i 4 ,abrirlo,a ' b 4 i 4 l o ,abrir,a'b4i4,abrirlo,a'b4i4lo
1,abrirlos,1,abrirlos,abrir+lo,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirlos,a ' B_o 4 i 4 l o s ,abrir,a ' b 4 i 4 ,abrirlos,a ' b 4 i 4 l o s ,abrir,a'b4i4,abrirlos,a'b4i4los
1.48,abrirme,3,abrirme,abrir+me,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirme,a ' B_o 4 i 4 . m e ,abrir,a ' b 4 i 4 ,abrirme,a ' b 4 i 4 . m e ,abrir,a'b4i4,abrirme,a'b4i4.me
1,abriros,1,abriros,abrir+os,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abriros,a ' B_o 4 i . 4 o s ,abrir,a ' b 4 i 4 ,abriros,a ' b 4 i . 4 o s ,abrir,a'b4i4,abriros,a'b4i.4os
1,abrís,1,abrís,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abrís,a ' B_o 4 i s ,abrir,a ' b 4 i 4 ,abrís,a ' b 4 i s ,abrir,a'b4i4,abrís,a'b4is
2.51,abro,32,abro,abro,abro,NC,abro,' a . B_o 4 o ,abro,' a . B_o 4 o ,abro,' a . b 4 o ,abro,' a . b 4 o ,abro,'a.b4o,abro,'a.b4o
2.43,abuela,27,abuela,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuela,a ' B_o w e . l a ,abuelo,a ' b w e . l o ,abuela,a ' b w e . l a ,abuelo,a'bwe.lo,abuela,a'bwe.la
1,abuelica,1,abuelica,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelica,a . B_o w e ' l i . k a ,abuelo,a ' b w e . l o ,abuelica,a . b w e ' l i . k a ,abuelo,a'bwe.lo,abuelica,a.bwe'li.ka
1.3,abuelico,2,abuelico,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelico,a . B_o w e ' l i . k o ,abuelo,a ' b w e . l o ,abuelico,a . b w e ' l i . k o ,abuelo,a'bwe.lo,abuelico,a.bwe'li.ko
2.48,abuelita,30,abuelita,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelita,a . B_o w e ' l i . t a ,abuelo,a ' b w e . l o ,abuelita,a . b w e ' l i . t a ,abuelo,a'bwe.lo,abuelita,a.bwe'li.ta
2.08,abuelito,12,abuelito,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelito,a . B_o w e ' l i . t o ,abuelo,a ' b w e . l o ,abuelito,a . b w e ' l i . t o ,abuelo,a'bwe.lo,abuelito,a.bwe'li.to
2.53,abuelo,34,abuelo,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelo,a ' B_o w e . l o ,abuelo,a ' b w e . l o ,abuelo,a ' b w e . l o ,abuelo,a'bwe.lo,abuelo,a'bwe.lo
1.48,abuelos,3,abuelos,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelos,a ' B_o w e . l o s ,abuelo,a ' b w e . l o ,abuelos,a ' b w e . l o s ,abuelo,a'bwe.lo,abuelos,a'bwe.los
1,abulta,1,abulta,abultar,abultar,VMI,abultar,a . B_o u l_d ' t a 4 ,abulta,a ' B_o u l_d . t a ,abultar,a . b u l ' t a 4 ,abulta,a ' b u l . t a ,abultar,a.bul'ta4,abulta,a'bul.ta
1.6,aburrida,4,aburrida,aburrir,aburrir,VMP,aburrir,a . B_o u ' r i 4 ,aburrida,a . B_o u ' r i . D_o a ,aburrir,a . b u ' r i 4 ,aburrida,a . b u ' r i . d a ,aburrir,a.bu'ri4,aburrida,a.bu'ri.da
1.3,aburrido,2,aburrido,aburrir,aburrir,VMP,aburrir,a . B_o u ' r i 4 ,aburrido,a . B_o u ' r i . D_o o ,aburrir,a . b u ' r i 4 ,aburrido,a . b u ' r i . d o ,aburrir,a.bu'ri4,aburrido,a.bu'ri.do
1.48,aburro,3,aburro,aburrar,aburrar,VMI,aburrar,a . B_o u ' r a 4 ,aburro,a ' B_o u . r o ,aburrar,a . b u ' r a 4 ,aburro,a ' b u . r o ,aburrar,a.bu'ra4,aburro,a'bu.ro
1.85,acá,7,acá,acá,acá,RG,acá,a ' k a ,acá,a ' k a ,acá,a ' k a ,acá,a ' k a ,acá,a'ka,acá,a'ka
2.11,acaba,13,acaba,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acaba,a ' k a . B_o a ,acabar,a . k a ' b a 4 ,acaba,a ' k a . b a ,acabar,a.ka'ba4,acaba,a'ka.ba
1,acababa,1,acababa,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acababa,a . k a ' B_o a . B_o a ,acabar,a . k a ' b a 4 ,acababa,a . k a ' b a . b a ,acabar,a.ka'ba4,acababa,a.ka'ba.ba
1,acabada,1,acabada,acabar,acabar,VMP,acabar,a . k a ' B_o a 4 ,acabada,a . k a ' B_o a . D_o a ,acabar,a . k a ' b a 4 ,acabada,a . k a ' b a . d a ,acabar,a.ka'ba4,acabada,a.ka'ba.da
1,acabadito,1,acabadito,acabar,acabar,VMP,acabar,a . k a ' B_o a 4 ,acabadito,a . k a . B_o a ' D_o i . t o ,acabar,a . k a ' b a 4 ,acabadito,a . k a . b a ' d i . t o ,acabar,a.ka'ba4,acabadito,a.ka.ba'di.to
2.92,acabado,83,acabado,acabar,acabar,VMP,acabar,a . k a ' B_o a 4 ,acabado,a . k a ' B_o a . D_o o ,acabar,a . k a ' b a 4 ,acabado,a . k a ' b a . d o ,acabar,a.ka'ba4,acabado,a.ka'ba.do
1,acaban,1,acaban,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acaban,a ' k a . B_o a n ,acabar,a . k a ' b a 4 ,acaban,a ' k a . b a n ,acabar,a.ka'ba4,acaban,a'ka.ban
1.3,acabando,2,acabando,acabar,acabar,VMG,acabar,a . k a ' B_o a 4 ,acabando,a . k a ' B_o a n_d . d o ,acabar,a . k a ' b a 4 ,acabando,a . k a ' b a n . d o ,acabar,a.ka'ba4,acabando,a.ka'ban.do
1.3,acabará,2,acabará,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabará,a . k a . B_o a ' 4 a ,acabar,a . k a ' b a 4 ,acabará,a . k a . b a ' 4 a ,acabar,a.ka'ba4,acabará,a.ka.ba'4a
1.3,acabe,2,acabe,acabar,acabar,VMS,acabar,a . k a ' B_o a 4 ,acabe,a ' k a . B_o e ,acabar,a . k a ' b a 4 ,acabe,a ' k a . b e ,acabar,a.ka'ba4,acabe,a'ka.be
1.7,acabo,5,acabo,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabo,a ' k a . B_o o ,acabar,a . k a ' b a 4 ,acabo,a ' k a . b o ,acabar,a.ka'ba4,acabo,a'ka.bo
2.85,acabó,71,acabó,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabó,a . k a ' B_o o ,acabar,a . k a ' b a 4 ,acabó,a . k a ' b o ,acabar,a.ka'ba4,acabó,a.ka'bo
1.6,acaso,4,acaso,acaso,acaso,RG,acaso,a ' k a . s o ,acaso,a ' k a . s o ,acaso,a ' k a . s o ,acaso,a ' k a . s o ,acaso,a'ka.so,acaso,a'ka.so
1.48,accidente,3,accidente,accidente,accidente,NC,accidente,a g . T i ' D_o e n_d . t e ,accidente,a g . T i ' D_o e n_d . t e ,accidente,a g . T i ' d e n . t e ,accidente,a g . T i ' d e n . t e ,accidente,ag.Ti'den.te,accidente,ag.Ti'den.te
1.48,aceite,3,aceite,aceite,aceite,NC,aceite,a ' T e i_^ . t e ,aceite,a ' T e i_^ . t e ,aceite,a ' T e i . t e ,aceite,a ' T e i . t e ,aceite,a'Tei.te,aceite,a'Tei.te
1.3,acera,2,acera,acera,acera,NC,acera,a ' T e . 4 a ,acera,a ' T e . 4 a ,acera,a ' T e . 4 a ,acera,a ' T e . 4 a ,acera,a'Te.4a,acera,a'Te.4a
1.3,acerca,2,acerca,acercar,acercar,VMI,acercar,a . T e 4 ' k a 4 ,acerca,a ' T e 4 . k a ,acercar,a . T e 4 ' k a 4 ,acerca,a ' T e 4 . k a ,acercar,a.Te4'ka4,acerca,a'Te4.ka
1,acércame,1,acércame,acercar+me,acercar,VMM+PP,acercar,a . T e 4 ' k a 4 ,acércame,a ' T e 4 . k a . m e ,acercar,a . T e 4 ' k a 4 ,acércame,a ' T e 4 . k a . m e ,acercar,a.Te4'ka4,acércame,a'Te4.ka.me
1,acercando,1,acercando,acercar,acercar,VMG,acercar,a . T e 4 ' k a 4 ,acercando,a . T e 4 ' k a n_d . d o ,acercar,a . T e 4 ' k a 4 ,acercando,a . T e 4 ' k a n . d o ,acercar,a.Te4'ka4,acercando,a.Te4'kan.do
1.3,acercar,2,acercar,acercar,acercar,VMN,acercar,a . T e 4 ' k a 4 ,acercar,a . T e 4 ' k a 4 ,acercar,a . T e 4 ' k a 4 ,acercar,a . T e 4 ' k a 4 ,acercar,a.Te4'ka4,acercar,a.Te4'ka4
1,acercaros,1,acercaros,acercar+os,acercar,VMN+PP,acercar,a . T e 4 ' k a 4 ,acercaros,a . T e 4 ' k a . 4 o s ,acercar,a . T e 4 ' k a 4 ,acercaros,a . T e 4 ' k a . 4 o s ,acercar,a.Te4'ka4,acercaros,a.Te4'ka.4os
1.78,acercas,6,acercas,acercar,acercar,VMI,acercar,a . T e 4 ' k a 4 ,acercas,a ' T e 4 . k a s ,acercar,a . T e 4 ' k a 4 ,acercas,a ' T e 4 . k a s ,acercar,a.Te4'ka4,acercas,a'Te4.kas
1,acércate,1,acércate,acercar+te,acercar,VMM+PP,acercar,a . T e 4 ' k a 4 ,acércate,a ' T e 4 . k a . t e ,acercar,a . T e 4 ' k a 4 ,acércate,a ' T e 4 . k a . t e ,acercar,a.Te4'ka4,acércate,a'Te4.ka.te
1.3,acerco,2,acerco,acercar,acercar,VMI,acercar,a . T e 4 ' k a 4 ,acerco,a ' T e 4 . k o ,acercar,a . T e 4 ' k a 4 ,acerco,a ' T e 4 . k o ,acercar,a.Te4'ka4,acerco,a'Te4.ko
1,acerque,1,acerque,acercar,acercar,VMS,acercar,a . T e 4 ' k a 4 ,acerque,a ' T e 4 . k e ,acercar,a . T e 4 ' k a 4 ,acerque,a ' T e 4 . k e ,acercar,a.Te4'ka4,acerque,a'Te4.ke
1,acompaña,1,acompaña,acompañar,acompañar,VMI,acompañar,a . k o m . p a ' J a 4 ,acompaña,a . k o m ' p a . J a ,acompañar,a . k o m . p a ' J a 4 ,acompaña,a . k o m ' p a . J a ,acompañar,a.kom.pa'Ja4,acompaña,a.kom'pa.Ja
1,acompañaba,1,acompañaba,acompañar,acompañar,VMI,acompañar,a . k o m . p a ' J a 4 ,acompañaba,a . k o m . p a ' J a . B_o a ,acompañar,a . k o m . p a ' J a 4 ,acompañaba,a . k o m . p a ' J a . b a ,acompañar,a.kom.pa'Ja4,acompañaba,a.kom.pa'Ja.ba
1,acompaño,1,acompaño,acompañar,acompañar,VMI,acompañar,a . k o m . p a ' J a 4 ,acompaño,a . k o m ' p a . J o ,acompañar,a . k o m . p a ' J a 4 ,acompaño,a . k o m ' p a . J o ,acompañar,a.kom.pa'Ja4,acompaño,a.kom'pa.Jo
1.3,acordaba,2,acordaba,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordaba,a . k o 4 ' D_o a . B_o a ,acordar,a . k o 4 ' d a 4 ,acordaba,a . k o 4 ' d a . b a ,acordar,a.ko4'da4,acordaba,a.ko4'da.ba
1.3,acordabas,2,acordabas,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordabas,a . k o 4 ' D_o a . B_o a s ,acordar,a . k o 4 ' d a 4 ,acordabas,a . k o 4 ' d a . b a s ,acordar,a.ko4'da4,acordabas,a.ko4'da.bas
1,acordamos,1,acordamos,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordamos,a . k o 4 ' D_o a . m o s ,acordar,a . k o 4 ' d a 4 ,acordamos,a . k o 4 ' d a . m o s ,acordar,a.ko4'da4,acordamos,a.ko4'da.mos
1,acordaron,1,acordaron,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordaron,a . k o 4 ' D_o a . 4 o n ,acordar,a . k o 4 ' d a 4 ,acordaron,a . k o 4 ' d a . 4 o n ,acordar,a.ko4'da4,acordaron,a.ko4'da.4on
1.3,acordé,2,acordé,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordé,a . k o 4 ' D_o e ,acordar,a . k o 4 ' d a 4 ,acordé,a . k o 4 ' d e ,acordar,a.ko4'da4,acordé,a.ko4'de
1,acordeón,1,acordeón,acordeón,acordeón,NC,acordeón,a . k o 4 . D_o e ' o n ,acordeón,a . k o 4 . D_o e ' o n ,acordeón,a . k o 4 . d e ' o n ,acordeón,a . k o 4 . d e ' o n ,acordeón,a.ko4.de'on,acordeón,a.ko4.de'on
1.3,acostado,2,acostado,acostar,acostar,VMP,acostar,a . k o s ' t a 4 ,acostado,a . k o s ' t a . D_o o ,acostar,a . k o s ' t a 4 ,acostado,a . k o s ' t a . d o ,acostar,a.kos'ta4,acostado,a.kos'ta.do
1.48,acostamos,3,acostamos,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acostamos,a . k o s ' t a . m o s ,acostar,a . k o s ' t a 4 ,acostamos,a . k o s ' t a . m o s ,acostar,a.kos'ta4,acostamos,a.kos'ta.mos
1,acostando,1,acostando,acostar,acostar,VMG,acostar,a . k o s ' t a 4 ,acostando,a . k o s ' t a n_d . d o ,acostar,a . k o s ' t a 4 ,acostando,a . k o s ' t a n . d o ,acostar,a.kos'ta4,acostando,a.kos'tan.do
1.6,acostar,4,acostar,acostar,acostar,VMN,acostar,a . k o s ' t a 4 ,acostar,a . k o s ' t a 4 ,acostar,a . k o s ' t a 4 ,acostar,a . k o s ' t a 4 ,acostar,a.kos'ta4,acostar,a.kos'ta4
1,acostarlo,1,acostarlo,acostar+lo,acostar,VMN+PP,acostar,a . k o s ' t a 4 ,acostarlo,a . k o s ' t a 4 l o ,acostar,a . k o s ' t a 4 ,acostarlo,a . k o s ' t a 4 l o ,acostar,a.kos'ta4,acostarlo,a.kos'ta4lo
1,acuarelas,1,acuarelas,acuarela,acuarela,NC,acuarela,a . k w a ' 4 e . l a ,acuarelas,a . k w a ' 4 e . l a s ,acuarela,a . k w a ' 4 e . l a ,acuarelas,a . k w a ' 4 e . l a s ,acuarela,a.kwa'4e.la,acuarelas,a.kwa'4e.las
2.15,acuerdas,14,acuerdas,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acuerdas,a ' k w e 4 . D_o a s ,acordar,a . k o 4 ' d a 4 ,acuerdas,a ' k w e 4 . d a s ,acordar,a.ko4'da4,acuerdas,a'kwe4.das
1,acuérdate,1,acuérdate,acordar+te,acordar,VMM+PP,acordar,a . k o 4 ' D_o a 4 ,acuérdate,a ' k w e 4 . D_o a . t e ,acordar,a . k o 4 ' d a 4 ,acuérdate,a ' k w e 4 . d a . t e ,acordar,a.ko4'da4,acuérdate,a'kwe4.da.te
2.49,acuerdo,31,acuerdo,acuerdo,acuerdo,NC,acuerdo,a ' k w e 4 . D_o o ,acuerdo,a ' k w e 4 . D_o o ,acuerdo,a ' k w e 4 . d o ,acuerdo,a ' k w e 4 . d o ,acuerdo,a'kwe4.do,acuerdo,a'kwe4.do
1.3,acuesta,2,acuesta,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acuesta,a ' k w e s . t a ,acostar,a . k o s ' t a 4 ,acuesta,a ' k w e s . t a ,acostar,a.kos'ta4,acuesta,a'kwes.ta
1,acuestes,1,acuestes,acostar,acostar,VMS,acostar,a . k o s ' t a 4 ,acuestes,a ' k w e s . t e s ,acostar,a . k o s ' t a 4 ,acuestes,a ' k w e s . t e s ,acostar,a.kos'ta4,acuestes,a'kwes.tes
2.32,adelante,21,adelante,adelante,adelante,RG,adelante,a . D_o e ' l a n_d . t e ,adelante,a . D_o e ' l a n_d . t e ,adelante,a . d e ' l a n . t e ,adelante,a . d e ' l a n . t e ,adelante,a.de'lan.te,adelante,a.de'lan.te
1.85,además,7,además,además,además,RG,además,a . D_o e ' m a s ,además,a . D_o e ' m a s ,además,a . d e ' m a s ,además,a . d e ' m a s ,además,a.de'mas,además,a.de'mas
2.62,adentro,42,adentro,adentro,adentro,RG,adentro,a ' D_o e n_d . t 4 o ,adentro,a ' D_o e n_d . t 4 o ,adentro,a ' d e n . t 4 o ,adentro,a ' d e n . t 4 o ,adentro,a'den.t4o,adentro,a'den.t4o
2.92,adiós,83,adiós,adiós,adiós,I,adiós,a ' D_o j o s ,adiós,a ' D_o j o s ,adiós,a ' d j o s ,adiós,a ' d j o s ,adiós,a'djos,adiós,a'djos
1,adivinas,1,adivinas,adivino,adivino,NC,adivino,a . D_o i ' B_o i . n o ,adivinas,a . D_o i ' B_o i . n a s ,adivino,a . d i ' b i . n o ,adivinas,a . d i ' b i . n a s ,adivino,a.di'bi.no,adivinas,a.di'bi.nas
1.48,adorno,3,adorno,adorno,adorno,NC,adorno,a ' D_o o 4 . n o ,adorno,a ' D_o o 4 . n o ,adorno,a ' d o 4 . n o ,adorno,a ' d o 4 . n o ,adorno,a'do4.no,adorno,a'do4.no
1,Adriana,1,adriana,adriana,adriana,NP,adriana,a ' D_o 4 j a . n a ,Adriana,a ' D_o 4 j a . n a ,adriana,a ' d 4 j a . n a ,Adriana,a ' d 4 j a . n a ,adriana,a'd4ja.na,Adriana,a'd4ja.na
2.2,afuera,16,afuera,afuera,afuera,RG,afuera,a ' f w e . 4 a ,afuera,a ' f w e . 4 a ,afuera,a ' f w e . 4 a ,afuera,a ' f w e . 4 a ,afuera,a'fwe.4a,afuera,a'fwe.4a
