5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
1.48,ábreme,3,ábreme,abrir+me,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábreme,' a . B_o 4 e . m e ,abrir,a ' b 4 i 4 ,ábreme,' a . b 4 e . m e ,abrir,a'b4i4,ábreme,'a.b4e.me
2.18,abren,15,abren,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abren,' a . B_o 4 e n ,abrir,a ' b 4 i 4 ,abren,' a . b 4 e n ,abrir,a'b4i4,abren,'a.b4en
2,abres,10,abres,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abres,' a . B_o 4 e s ,abrir,a ' b 4 i 4 ,abres,' a . b 4 e s ,abrir,a'b4i4,abres,'a.b4es
1.3,ábrete,2,ábrete,abrir+te,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrete,' a . B_o 4 e . t e ,abrir,a ' b 4 i 4 ,ábrete,' a . b 4 e . t e ,abrir,a'b4i4,ábrete,'a.b4e.te
1.78,abría,6,abría,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abría,a ' B_o 4 i a ,abrir,a ' b 4 i 4 ,abría,a ' b 4 i a ,abrir,a'b4i4,abría,a'b4ia
1.3,abrid,2,abrid,abrir,abrir,VMM,abrir,a ' B_o 4 i 4 ,abrid,a ' B_o 4 i D ,abrir,a ' b 4 i 4 ,abrid,a ' b 4 i d ,abrir,a'b4i4,abrid,a'b4id
1,abridme,1,abridme,abrir+me,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,abridme,a ' B_o 4 i D_o . m e ,abrir,a ' b 4 i 4 ,abridme,a ' b 4 i d . m e ,abrir,a'b4i4,abridme,a'b4id.me
1.6,abriendo,4,abriendo,abrir,abrir,VMG,abrir,a ' B_o 4 i 4 ,abriendo,a ' B_o 4 j e n_d . d o ,abrir,a ' b 4 i 4 ,abriendo,a ' b 4 j e n . d o ,abrir,a'b4i4,abriendo,a'b4jen.do
1,abriera,1,abriera,abrir,abrir,VMS,abrir,a ' B_o 4 i 4 ,abriera,a ' B_o 4 j e . 4 a ,abrir,a ' b 4 i 4 ,abriera,a ' b 4 j e . 4 a ,abrir,a'b4i4,abriera,a'b4je.4a
1,abrigado,1,abrigado,abrigar,abrigar,VMP,abrigar,a . B_o 4 i ' G_o a 4 ,abrigado,a . B_o 4 i ' G_o a . D_o o ,abrigar,a . b 4 i ' g a 4 ,abrigado,a . b 4 i ' g a . d o ,abrigar,a.b4i'ga4,abrigado,a.b4i'ga.do
1.48,abrigados,3,abrigados,abrigar,abrigar,VMP,abrigar,a . B_o 4 i ' G_o a 4 ,abrigados,a . B_o 4 i ' G_o a . D_o o s ,abrigar,a . b 4 i ' g a 4 ,abrigados,a . b 4 i ' g a . d o s ,abrigar,a.b4i'ga4,abrigados,a.b4i'ga.dos
1.48,abrigo,3,abrigo,abrigo,abrigo,NC,abrigo,a ' B_o 4 i . G_o o ,abrigo,a ' B_o 4 i . G_o o ,abrigo,a ' b 4 i . g o ,abrigo,a ' b 4 i . g o ,abrigo,a'b4i.go,abrigo,a'b4i.go
1.3,abrigos,2,abrigos,abrigo,abrigo,NC,abrigo,a ' B_o 4 i . G_o o ,abrigos,a ' B_o 4 i . G_o o s ,abrigo,a ' b 4 i . g o ,abrigos,a ' b 4 i . g o s ,abrigo,a'b4i.go,abrigos,a'b4i.gos
1,abril,1,abril,abril,abril,W,abril,a ' B_o 4 i l ,abril,a ' B_o 4 i l ,abril,a ' b 4 i l ,abril,a ' b 4 i l ,abril,a'b4il,abril,a'b4il
2.32,abrimos,21,abrimos,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abrimos,a ' B_o 4 i . m o s ,abrir,a ' b 4 i 4 ,abrimos,a ' b 4 i . m o s ,abrir,a'b4i4,abrimos,a'b4i.mos
2.78,abrir,60,abrir,abrir,abrir,VMN,abrir,a ' B_o 4 i 4 ,abrir,a ' B_o 4 i 4 ,abrir,a ' b 4 i 4 ,abrir,a ' b 4 i 4 ,abrir,a'b4i4,abrir,a'b4i4
1.3,abrirá,2,abrirá,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abrirá,a . B_o 4 i ' 4 a ,abrir,a ' b 4 i 4 ,abrirá,a . b 4 i ' 4 a ,abrir,a'b4i4,abrirá,a.b4i'4a
1,abriré,1,abriré,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abriré,a . B_o 4 i ' 4 e ,abrir,a ' b 4 i 4 ,abriré,a . b 4 i ' 4 e ,abrir,a'b4i4,abriré,a.b4i'4e
1,abriremos,1,abriremos,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abriremos,a . B_o 4 i ' 4 e . m o s ,abrir,a ' b 4 i 4 ,abriremos,a . b 4 i ' 4 e . m o s ,abrir,a'b4i4,abriremos,a.b4i'4e.mos
1.85,abrirla,7,abrirla,abrir+lo,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirla,a ' B_o 4 i 4 l a ,abrir,a ' b 4 i 4 ,abrirla,a ' b 4 i 4 l a ,abrir,a'b4i4,abrirla,a'b4i4la
1.3,abrirle,2,abrirle,abrir+le,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirle,a ' B_o 4 i 4 l e ,abrir,a ' b 4 i 4 ,abrirle,a ' b 4 i 4 l e ,abrir,a'b4i4,abrirle,a'b4i4le
1.6,abrirlo,4,abrirlo,abrir+lo,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirlo,a ' B_o 4 i 4 l o ,abrir,a ' b 4 i 4 ,abrirlo,a ' b 4 i 4 l o ,abrir,a'b4i4,abrirlo,a'b4i4lo
1.3,abrirme,2,abrirme,abrir+me,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirme,a ' B_o 4 i 4 . m e ,abrir,a ' b 4 i 4 ,abrirme,a ' b 4 i 4 . m e ,abrir,a'b4i4,abrirme,a'b4i4.me
1.48,abrirte,3,abrirte,abrir+te,abrir,VMN+PP,abrir,a ' B_o 4 i 4 ,abrirte,a ' B_o 4 i 4 . t e ,abrir,a ' b 4 i 4 ,abrirte,a ' b 4 i 4 . t e ,abrir,a'b4i4,abrirte,a'b4i4.te
1.9,abro,8,abro,abro,abro,NC,abro,' a . B_o 4 o ,abro,' a . B_o 4 o ,abro,' a . b 4 o ,abro,' a . b 4 o ,abro,'a.b4o,abro,'a.b4o
2.43,abuela,27,abuela,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuela,a ' B_o w e . l a ,abuelo,a ' b w e . l o ,abuela,a ' b w e . l a ,abuelo,a'bwe.lo,abuela,a'bwe.la
1,abuelico,1,abuelico,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelico,a . B_o w e ' l i . k o ,abuelo,a ' b w e . l o ,abuelico,a . b w e ' l i . k o ,abuelo,a'bwe.lo,abuelico,a.bwe'li.ko
2.56,abuelita,36,abuelita,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelita,a . B_o w e ' l i . t a ,abuelo,a ' b w e . l o ,abuelita,a . b w e ' l i . t a ,abuelo,a'bwe.lo,abuelita,a.bwe'li.ta
2.36,abuelito,23,abuelito,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelito,a . B_o w e ' l i . t o ,abuelo,a ' b w e . l o ,abuelito,a . b w e ' l i . t o ,abuelo,a'bwe.lo,abuelito,a.bwe'li.to
1,abuelitos,1,abuelitos,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelitos,a . B_o w e ' l i . t o s ,abuelo,a ' b w e . l o ,abuelitos,a . b w e ' l i . t o s ,abuelo,a'bwe.lo,abuelitos,a.bwe'li.tos
2.72,abuelo,53,abuelo,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelo,a ' B_o w e . l o ,abuelo,a ' b w e . l o ,abuelo,a ' b w e . l o ,abuelo,a'bwe.lo,abuelo,a'bwe.lo
1.78,abuelos,6,abuelos,abuelo,abuelo,NC,abuelo,a ' B_o w e . l o ,abuelos,a ' B_o w e . l o s ,abuelo,a ' b w e . l o ,abuelos,a ' b w e . l o s ,abuelo,a'bwe.lo,abuelos,a'bwe.los
1,aburres,1,aburres,aburrir,aburrir,VMI,aburrir,a . B_o u ' r i 4 ,aburres,a ' B_o u . r e s ,aburrir,a . b u ' r i 4 ,aburres,a ' b u . r e s ,aburrir,a.bu'ri4,aburres,a'bu.res
1.7,aburrida,5,aburrida,aburrir,aburrir,VMP,aburrir,a . B_o u ' r i 4 ,aburrida,a . B_o u ' r i . D_o a ,aburrir,a . b u ' r i 4 ,aburrida,a . b u ' r i . d a ,aburrir,a.bu'ri4,aburrida,a.bu'ri.da
1.6,aburrido,4,aburrido,aburrir,aburrir,VMP,aburrir,a . B_o u ' r i 4 ,aburrido,a . B_o u ' r i . D_o o ,aburrir,a . b u ' r i 4 ,aburrido,a . b u ' r i . d o ,aburrir,a.bu'ri4,aburrido,a.bu'ri.do
1.48,aburridos,3,aburridos,aburrir,aburrir,VMP,aburrir,a . B_o u ' r i 4 ,aburridos,a . B_o u ' r i . D_o o s ,aburrir,a . b u ' r i 4 ,aburridos,a . b u ' r i . d o s ,aburrir,a.bu'ri4,aburridos,a.bu'ri.dos
1.3,aburrimiento,2,aburrimiento,aburrimiento,aburrimiento,NC,aburrimiento,a . B_o u . r i ' m j e n_d . t o ,aburrimiento,a . B_o u . r i ' m j e n_d . t o ,aburrimiento,a . b u . r i ' m j e n . t o ,aburrimiento,a . b u . r i ' m j e n . t o ,aburrimiento,a.bu.ri'mjen.to,aburrimiento,a.bu.ri'mjen.to
1.3,aburrir,2,aburrir,aburrir,aburrir,VMN,aburrir,a . B_o u ' r i 4 ,aburrir,a . B_o u ' r i 4 ,aburrir,a . b u ' r i 4 ,aburrir,a . b u ' r i 4 ,aburrir,a.bu'ri4,aburrir,a.bu'ri4
1.48,acá,3,acá,acá,acá,RG,acá,a ' k a ,acá,a ' k a ,acá,a ' k a ,acá,a ' k a ,acá,a'ka,acá,a'ka
2.15,acaba,14,acaba,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acaba,a ' k a . B_o a ,acabar,a . k a ' b a 4 ,acaba,a ' k a . b a ,acabar,a.ka'ba4,acaba,a'ka.ba
1,acababa,1,acababa,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acababa,a . k a ' B_o a . B_o a ,acabar,a . k a ' b a 4 ,acababa,a . k a ' b a . b a ,acabar,a.ka'ba4,acababa,a.ka'ba.ba
1,acabada,1,acabada,acabar,acabar,VMP,acabar,a . k a ' B_o a 4 ,acabada,a . k a ' B_o a . D_o a ,acabar,a . k a ' b a 4 ,acabada,a . k a ' b a . d a ,acabar,a.ka'ba4,acabada,a.ka'ba.da
2.71,acabado,51,acabado,acabar,acabar,VMP,acabar,a . k a ' B_o a 4 ,acabado,a . k a ' B_o a . D_o o ,acabar,a . k a ' b a 4 ,acabado,a . k a ' b a . d o ,acabar,a.ka'ba4,acabado,a.ka'ba.do
1,acabáis,1,acabáis,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabáis,a . k a ' B_o a i_^ s ,acabar,a . k a ' b a 4 ,acabáis,a . k a ' b a i s ,acabar,a.ka'ba4,acabáis,a.ka'bais
1.48,acabamos,3,acabamos,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabamos,a . k a ' B_o a . m o s ,acabar,a . k a ' b a 4 ,acabamos,a . k a ' b a . m o s ,acabar,a.ka'ba4,acabamos,a.ka'ba.mos
1.3,acaban,2,acaban,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acaban,a ' k a . B_o a n ,acabar,a . k a ' b a 4 ,acaban,a ' k a . b a n ,acabar,a.ka'ba4,acaban,a'ka.ban
1.95,acabar,9,acabar,acabar,acabar,VMN,acabar,a . k a ' B_o a 4 ,acabar,a . k a ' B_o a 4 ,acabar,a . k a ' b a 4 ,acabar,a . k a ' b a 4 ,acabar,a.ka'ba4,acabar,a.ka'ba4
1,acabarás,1,acabarás,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabarás,a . k a . B_o a ' 4 a s ,acabar,a . k a ' b a 4 ,acabarás,a . k a . b a ' 4 a s ,acabar,a.ka'ba4,acabarás,a.ka.ba'4as
1,acabarme,1,acabarme,acabar+me,acabar,VMN+PP,acabar,a . k a ' B_o a 4 ,acabarme,a . k a ' B_o a 4 . m e ,acabar,a . k a ' b a 4 ,acabarme,a . k a ' b a 4 . m e ,acabar,a.ka'ba4,acabarme,a.ka'ba4.me
1,acabarse,1,acabarse,acabar+se,acabar,VMN+PP,acabar,a . k a ' B_o a 4 ,acabarse,a . k a ' B_o a 4 . s e ,acabar,a . k a ' b a 4 ,acabarse,a . k a ' b a 4 . s e ,acabar,a.ka'ba4,acabarse,a.ka'ba4.se
1.78,acabas,6,acabas,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabas,a ' k a . B_o a s ,acabar,a . k a ' b a 4 ,acabas,a ' k a . b a s ,acabar,a.ka'ba4,acabas,a'ka.bas
1.3,acabe,2,acabe,acabar,acabar,VMS,acabar,a . k a ' B_o a 4 ,acabe,a ' k a . B_o e ,acabar,a . k a ' b a 4 ,acabe,a ' k a . b e ,acabar,a.ka'ba4,acabe,a'ka.be
1.6,acabemos,4,acabemos,acabar,acabar,VMS,acabar,a . k a ' B_o a 4 ,acabemos,a . k a ' B_o e . m o s ,acabar,a . k a ' b a 4 ,acabemos,a . k a ' b e . m o s ,acabar,a.ka'ba4,acabemos,a.ka'be.mos
1,acaben,1,acaben,acabar,acabar,VMS,acabar,a . k a ' B_o a 4 ,acaben,a ' k a . B_o e n ,acabar,a . k a ' b a 4 ,acaben,a ' k a . b e n ,acabar,a.ka'ba4,acaben,a'ka.ben
1.48,acabo,3,acabo,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabo,a ' k a . B_o o ,acabar,a . k a ' b a 4 ,acabo,a ' k a . b o ,acabar,a.ka'ba4,acabo,a'ka.bo
2.41,acabó,26,acabó,acabar,acabar,VMI,acabar,a . k a ' B_o a 4 ,acabó,a . k a ' B_o o ,acabar,a . k a ' b a 4 ,acabó,a . k a ' b o ,acabar,a.ka'ba4,acabó,a.ka'bo
1.3,acaso,2,acaso,acaso,acaso,RG,acaso,a ' k a . s o ,acaso,a ' k a . s o ,acaso,a ' k a . s o ,acaso,a ' k a . s o ,acaso,a'ka.so,acaso,a'ka.so
1,acatarrado,1,acatarrado,acatarrar,acatarrar,VMP,acatarrar,a . k a . t a ' r a 4 ,acatarrado,a . k a . t a ' r a . D_o o ,acatarrar,a . k a . t a ' r a 4 ,acatarrado,a . k a . t a ' r a . d o ,acatarrar,a.ka.ta'ra4,acatarrado,a.ka.ta'ra.do
2.04,accidente,11,accidente,accidente,accidente,NC,accidente,a g . T i ' D_o e n_d . t e ,accidente,a g . T i ' D_o e n_d . t e ,accidente,a g . T i ' d e n . t e ,accidente,a g . T i ' d e n . t e ,accidente,ag.Ti'den.te,accidente,ag.Ti'den.te
1,accidentes,1,accidentes,accidente,accidente,NC,accidente,a g . T i ' D_o e n_d . t e ,accidentes,a g . T i ' D_o e n_d . t e s ,accidente,a g . T i ' d e n . t e ,accidentes,a g . T i ' d e n . t e s ,accidente,ag.Ti'den.te,accidentes,ag.Ti'den.tes
1.6,aceite,4,aceite,aceite,aceite,NC,aceite,a ' T e i_^ . t e ,aceite,a ' T e i_^ . t e ,aceite,a ' T e i . t e ,aceite,a ' T e i . t e ,aceite,a'Tei.te,aceite,a'Tei.te
1,acera,1,acera,acera,acera,NC,acera,a ' T e . 4 a ,acera,a ' T e . 4 a ,acera,a ' T e . 4 a ,acera,a ' T e . 4 a ,acera,a'Te.4a,acera,a'Te.4a
1.6,acerca,4,acerca,acercar,acercar,VMI,acercar,a . T e 4 ' k a 4 ,acerca,a ' T e 4 . k a ,acercar,a . T e 4 ' k a 4 ,acerca,a ' T e 4 . k a ,acercar,a.Te4'ka4,acerca,a'Te4.ka
1,acércame,1,acércame,acercar+me,acercar,VMM+PP,acercar,a . T e 4 ' k a 4 ,acércame,a ' T e 4 . k a . m e ,acercar,a . T e 4 ' k a 4 ,acércame,a ' T e 4 . k a . m e ,acercar,a.Te4'ka4,acércame,a'Te4.ka.me
1,acercamos,1,acercamos,acercar,acercar,VMI,acercar,a . T e 4 ' k a 4 ,acercamos,a . T e 4 ' k a . m o s ,acercar,a . T e 4 ' k a 4 ,acercamos,a . T e 4 ' k a . m o s ,acercar,a.Te4'ka4,acercamos,a.Te4'ka.mos
1.3,acercando,2,acercando,acercar,acercar,VMG,acercar,a . T e 4 ' k a 4 ,acercando,a . T e 4 ' k a n_d . d o ,acercar,a . T e 4 ' k a 4 ,acercando,a . T e 4 ' k a n . d o ,acercar,a.Te4'ka4,acercando,a.Te4'kan.do
1,acercar,1,acercar,acercar,acercar,VMN,acercar,a . T e 4 ' k a 4 ,acercar,a . T e 4 ' k a 4 ,acercar,a . T e 4 ' k a 4 ,acercar,a . T e 4 ' k a 4 ,acercar,a.Te4'ka4,acercar,a.Te4'ka4
1,acercas,1,acercas,acercar,acercar,VMI,acercar,a . T e 4 ' k a 4 ,acercas,a ' T e 4 . k a s ,acercar,a . T e 4 ' k a 4 ,acercas,a ' T e 4 . k a s ,acercar,a.Te4'ka4,acercas,a'Te4.kas
1.48,acércate,3,acércate,acercar+te,acercar,VMM+PP,acercar,a . T e 4 ' k a 4 ,acércate,a ' T e 4 . k a . t e ,acercar,a . T e 4 ' k a 4 ,acércate,a ' T e 4 . k a . t e ,acercar,a.Te4'ka4,acércate,a'Te4.ka.te
1.95,acerco,9,acerco,acercar,acercar,VMI,acercar,a . T e 4 ' k a 4 ,acerco,a ' T e 4 . k o ,acercar,a . T e 4 ' k a 4 ,acerco,a ' T e 4 . k o ,acercar,a.Te4'ka4,acerco,a'Te4.ko
1,acerque,1,acerque,acercar,acercar,VMS,acercar,a . T e 4 ' k a 4 ,acerque,a ' T e 4 . k e ,acercar,a . T e 4 ' k a 4 ,acerque,a ' T e 4 . k e ,acercar,a.Te4'ka4,acerque,a'Te4.ke
1.3,acertado,2,acertado,acertar,acertar,VMP,acertar,a . T e 4 ' t a 4 ,acertado,a . T e 4 ' t a . D_o o ,acertar,a . T e 4 ' t a 4 ,acertado,a . T e 4 ' t a . d o ,acertar,a.Te4'ta4,acertado,a.Te4'ta.do
1,aclaro,1,aclaro,aclarar,aclarar,VMI,aclarar,a . k l a ' 4 a 4 ,aclaro,a ' k l a . 4 o ,aclarar,a . k l a ' 4 a 4 ,aclaro,a ' k l a . 4 o ,aclarar,a.kla'4a4,aclaro,a'kla.4o
1,acomodado,1,acomodado,acomodar,acomodar,VMP,acomodar,a . k o . m o ' D_o a 4 ,acomodado,a . k o . m o ' D_o a . D_o o ,acomodar,a . k o . m o ' d a 4 ,acomodado,a . k o . m o ' d a . d o ,acomodar,a.ko.mo'da4,acomodado,a.ko.mo'da.do
1,acompaña,1,acompaña,acompañar,acompañar,VMI,acompañar,a . k o m . p a ' J a 4 ,acompaña,a . k o m ' p a . J a ,acompañar,a . k o m . p a ' J a 4 ,acompaña,a . k o m ' p a . J a ,acompañar,a.kom.pa'Ja4,acompaña,a.kom'pa.Ja
1,acompañada,1,acompañada,acompañar,acompañar,VMP,acompañar,a . k o m . p a ' J a 4 ,acompañada,a . k o m . p a ' J a . D_o a ,acompañar,a . k o m . p a ' J a 4 ,acompañada,a . k o m . p a ' J a . d a ,acompañar,a.kom.pa'Ja4,acompañada,a.kom.pa'Ja.da
1.3,acompañándole,2,acompañándole,acompañar+le,acompañar,VMG+PP,acompañar,a . k o m . p a ' J a 4 ,acompañándole,a . k o m . p a ' J ~a n_d . d o . l e ,acompañar,a . k o m . p a ' J a 4 ,acompañándole,a . k o m . p a ' J a n . d o . l e ,acompañar,a.kom.pa'Ja4,acompañándole,a.kom.pa'Jan.do.le
1.3,acompañante,2,acompañante,acompañante,acompañante,NC,acompañante,a . k o m . p a ' J ~a n_d . t e ,acompañante,a . k o m . p a ' J ~a n_d . t e ,acompañante,a . k o m . p a ' J a n . t e ,acompañante,a . k o m . p a ' J a n . t e ,acompañante,a.kom.pa'Jan.te,acompañante,a.kom.pa'Jan.te
1.6,acordaba,4,acordaba,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordaba,a . k o 4 ' D_o a . B_o a ,acordar,a . k o 4 ' d a 4 ,acordaba,a . k o 4 ' d a . b a ,acordar,a.ko4'da4,acordaba,a.ko4'da.ba
1,acordábamos,1,acordábamos,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordábamos,a . k o 4 ' D_o a . B_o a . m o s ,acordar,a . k o 4 ' d a 4 ,acordábamos,a . k o 4 ' d a . b a . m o s ,acordar,a.ko4'da4,acordábamos,a.ko4'da.ba.mos
1.6,acordabas,4,acordabas,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordabas,a . k o 4 ' D_o a . B_o a s ,acordar,a . k o 4 ' d a 4 ,acordabas,a . k o 4 ' d a . b a s ,acordar,a.ko4'da4,acordabas,a.ko4'da.bas
1.48,acordado,3,acordado,acordar,acordar,VMP,acordar,a . k o 4 ' D_o a 4 ,acordado,a . k o 4 ' D_o a . D_o o ,acordar,a . k o 4 ' d a 4 ,acordado,a . k o 4 ' d a . d o ,acordar,a.ko4'da4,acordado,a.ko4'da.do
1.48,acordáis,3,acordáis,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordáis,a . k o 4 ' D_o a i_^ s ,acordar,a . k o 4 ' d a 4 ,acordáis,a . k o 4 ' d a i s ,acordar,a.ko4'da4,acordáis,a.ko4'dais
1.3,acordamos,2,acordamos,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordamos,a . k o 4 ' D_o a . m o s ,acordar,a . k o 4 ' d a 4 ,acordamos,a . k o 4 ' d a . m o s ,acordar,a.ko4'da4,acordamos,a.ko4'da.mos
1,acordarás,1,acordarás,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordarás,a . k o 4 . D_o a ' 4 a s ,acordar,a . k o 4 ' d a 4 ,acordarás,a . k o 4 . d a ' 4 a s ,acordar,a.ko4'da4,acordarás,a.ko4.da'4as
1,acordaste,1,acordaste,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acordaste,a . k o 4 ' D_o a s . t e ,acordar,a . k o 4 ' d a 4 ,acordaste,a . k o 4 ' d a s . t e ,acordar,a.ko4'da4,acordaste,a.ko4'das.te
